url,name,phones,emails,general_director,type_of_company,registration_date_datetime,registration_date_timestamp,founders,inn,ogrn,kpp,okpo,okato,oktmo,okogu,postal_code,address
avto03.com,None,+74705882352&+79244566446&+71764705882&+78039215686,vikup-auto03@mail.ru,None,None,None,None,None,None,None,None,None,None,None,None,None,None
avtoban-ford.ru,None,+76837124869&+73432163300,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
avtoban-chery.ru,None,+72784139074&+74660596956&+78568304159&+73433115511&+73432163300&+77059796274&+76766085122&+79379331506&+74004205785,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
avtocentr-77-otzyvy.vk.com,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
avtocentr-genzer-otzyvy.vk.com,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
avto138.ru,None,+70000000000&+71764705882&+79025115657&+78039215686&+74705882352,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
avtoban-service.ru,None,+73432163300&+73432381010&+73433444040&+73432317770&+73433450000,service@avtoban.biz,None,None,None,None,None,None,None,None,None,None,None,None,None,None
avto-wind.ru,None,+78652222138,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
avtodetal62.ru,None,+74912332525&+74912241421,tstore@kanischevo.ru&store@kanischevo.ru,None,None,None,None,None,None,None,None,None,None,None,None,None,None
avtodel.com,None,+78617308550&+79788180101&+79788353835&+71764705882&+79787480055&+79787524000&+79788360707&+79787320220&+79788357007&+79787320303&+78039215686&+79787880030&+74705882352,marketing@avtodel.com&support@onelink.to&hello@onelink.to&salon@avtodel.com,None,None,None,None,None,None,None,None,None,None,None,None,None,None
avtodin.chery.ru,None,+72784139074&+74957754400&+74660596956&+78568304159&+77059796274&+76766085122&+79379331506&+74004205785,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
avtodovod.ru,None,+79891282824,avtodovod@mail.ru,None,None,None,None,None,None,None,None,None,None,None,None,None,None
avtodom-moto.ru,None,+78125005000&+78124457370,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
avtodom.ru,None,+74951861121&+74954325885&+78126000106&+74991121970&+74955005008&+74951272366&+74955005001&+74951169430&+74951723475,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
avtoaukcion888.ru,"ООО ""АВТОАУКЦИОН 888""",+73354083619&+79039125963&+71792985829&+79773468886&+77073183666&+75835740202&+74959798886,info@motors-usa.com.ua&autoauctionmarketing888@gmail.com&avtoauctsion@yandex.ru,Денисова Ирина Николаевна,LEGAL,2022-08-03,1659484800,None,9715424406,1227700465189,771501001,52009980,45280594000,45364000000,4210014,127081,"г Москва, проезд Дежнёва, д 26, помещ 4"
avtogid11.ru,None,+79222729511,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
avtoglobal25.ru,None,+71792981360&+71764705882&+78039215686&+79146818819&+74705882352,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
avtoduk-exeed.ru,None,+73842558100,exeed@avtoduk.ru,None,None,None,None,None,None,None,None,None,None,None,None,None,None
avtograd-chery.ru,None,+72784139074&+77484368347&+74660596956&+78568304159&+76766085122&+77059796274&+74012565802&+79379331506&+74004205785,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
avtogermes.ru,None,+74951360100&+74951395270,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
avtograd-technology.ru,None,+79871693932&+78482378089&+79171282384&+79171282355,sales@avt63.com&om_i_co@mail.ru&sale@avt63.com,None,None,None,None,None,None,None,None,None,None,None,None,None,None
avtocomf.com,None,+79851401431,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
avtocar-by.ru,"ООО ""ТОР""",+78482689490,None,Мамедов Ильгар Махад-Оглы,LEGAL,2021-10-12,1633996800,None,6320060218,1216300048007,632001001,48245231,36440363000,36740000001,4210014,445030,"Самарская обл, г Тольятти, Цветной б-р, д 7, кв 5"
avtoban-exeed.ru,"ООО ""АВТОБАН-ЮГ""",+75717229288&+73432222200,None,Бартенев Илья Анатольевич,LEGAL,2014-07-09,1404864000,None,6679053451,1146679022225,667901001,39905668,65401390000,65701000001,4210014,620103,"г Екатеринбург, ул Селькоровская, д 23"
avtohelpmos.ru,None,+79109005599,avtohelpmos@mail.ru,None,None,None,None,None,None,None,None,None,None,None,None,None,None
avto186.ru,"ООО ""АВТОЗАПЧАСТИ""",+79227720088&+71792973950&+79222500084&+71792973986,None,Иноятов Кудрат Салаевич,LEGAL,2010-04-29,1272499200,None,7203247528,1107232015505,720301001,66603384,71401376000,71701000001,4210014,625033,"г Тюмень, ул Пермякова, д 84, кв 1"
avtoimperium123.turbo.site,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
avtoholding-exeed.ru,None,+79180151015,personal.data@chery.ru,None,None,None,None,None,None,None,None,None,None,None,None,None,None
avtodom-landrover.ru,"ООО ""ДЦ АЛТУФЬЕВО""",+74955000501,None,Тимашов Роман Валерьевич,LEGAL,2018-11-16,1542326400,None,5029236551,1185053039291,502901001,34200615,46446000206,46746000306,4210014,141031,"141031, Московская область, Г. МЫТИЩИ, П. НАГОРНОЕ, КМ МКАД 85-Й (ТПЗ АЛТУФЬЕВО ТЕР), ВЛД. 5, СТР. 4, ЭТ/ПОМ 1/1"
avtoimport.su,None,+79621871970&+71792997384&+74942302203,avtoimporte@yandex.ru,None,None,None,None,None,None,None,None,None,None,None,None,None,None
avtoinvest54.t.me,None,+79538857882,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
avtoimport-sobornaja-ploschad.clients.site,None,+74912575429,zakaz@ai.ryazan.ru,None,None,None,None,None,None,None,None,None,None,None,None,None,None
avtodom-irk.ru,"ООО ""ВИЗАРД""",+73952407188,None,Мединовский Степан Владимирович,LEGAL,2013-11-26,1385424000,None,3811174050,1133850045702,380801001,13624073,25401365000,25701000001,4210014,664003,"664003, Иркутская область, Г.О. ГОРОД ИРКУТСК, Г ИРКУТСК, УЛ БОГДАНА ХМЕЛЬНИЦКОГО, Д. 11, КВ. 18, ПОМЕЩ. 18/9"
avtolider-kia.clients.site,None,+78482772888&+74173292700,info@leader-kia.ru,None,None,None,None,None,None,None,None,None,None,None,None,None,None
avtomarket.chery.ru,None,+72784139074&+74660596956&+78568304159&+77059796274&+78152333000&+76766085122&+79379331506&+74004205785,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
avtomarket.haval.ru,None,+78005115986&+78152333000,info@am51.ru,None,None,None,None,None,None,None,None,None,None,None,None,None,None
avtojoy.com,None,+74951068888&+74092690154&+74092690147&+74092692154&+74092692147,team@tilda.cc,None,None,None,None,None,None,None,None,None,None,None,None,None,None
avtomir-geely-ekt.ru,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
avtomir-automarket.kz,None,+77212908009&+77172613131&+74959567732,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
avtomir-haval.ru,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
avtokassa.by,None,+74092690147&+74092692147&+74092690154&+74092692154,team@tilda.cc,None,None,None,None,None,None,None,None,None,None,None,None,None,None
