url,name,phones,emails,general_director,type_of_company,registration_date_datetime,registration_date_timestamp,founders,inn,ogrn,kpp,okpo,okato,oktmo,okogu,postal_code,address
avto-regist.ru,None,+79253421151,avto-regist@mail.ru,None,None,None,None,None,None,None,None,None,None,None,None,None,None
avto-ray.by,None,+70292646565,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
avto-trakt.ru,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
avto-vikup-37.ru,None,+78312353101&+71234567890,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
avto-vikup63.ru,None,+79171536684&+79053002544&+78462672544,89171536684@mail.ru&wa-messenger-ava@2x.png&Whatsapp@2x.png,None,None,None,None,None,None,None,None,None,None,None,None,None,None
avto-util.ru,None,+79055355740&+74956643019&+74993901473&+79259096897,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
avto-vikupcar.ru,None,+79263811915&+75714285714&+79263811669,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
avto-vikup-belgorod.ru,None,+71793229915&+74092692154&+74092692147&+79511522158&+74092690154&+74092690147,team@tilda.cc,None,None,None,None,None,None,None,None,None,None,None,None,None,None
avto-vukyp.moscow,None,+79010777763,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
avto-vykup86.ru,None,+79825658566,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
avto-vykup24.ru,None,+79265813690&+71793220948&+78007004726&+76382751323,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
avto-zakaz.by,None,+74092692154&+74092690154&+74092692147&+74092690147,team@tilda.cc,None,None,None,None,None,None,None,None,None,None,None,None,None,None
avto24-vikup.ru,None,+71793211161&+79532463427&+70000000000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
avto75.ru,None,+79248128888&+73022728888,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
avto68.pro,None,+71764705882&+78039215686&+74705882352&+79683833532&+79202333316&+79202302302&+71793210587,avto68pro@yandex.ru,None,None,None,None,None,None,None,None,None,None,None,None,None,None
avto55.com,None,+75043938700&+79048200005&+77814842317&+71575634847&+79502108777,8eb368c655b84e029ed79ad7a5c1718e@sentry.wixpress.com&831126cb46b74583bf6f72c5061cba9d@sentry-viewer.wixpress.com&605a7baede844d278b89dc95ae0a9123@sentry-next.wixpress.com,None,None,None,None,None,None,None,None,None,None,None,None,None,None
avtoangel48.ru,None,+79191622829&+74742392829,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
avtoaliance.ru,None,+79096958869&+74996492292&+71793211114,avtoaliance.ru@yandex.ru,None,None,None,None,None,None,None,None,None,None,None,None,None,None
avtoban-renault.ru,None,+73433115511,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
avtoban-service.ru,None,+73432381010&+73433444040&+73433450000&+73432317770&+73432163300,service@avtoban.biz,None,None,None,None,None,None,None,None,None,None,None,None,None,None
avtoban.by,None,+71764705882&+78039215686&+74705882352,manager.avtoban@gmail.com&tmanager.avtoban@gmail.com,None,None,None,None,None,None,None,None,None,None,None,None,None,None
avtobond.ru,None,+71764705882&+78039215686&+74705882352,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
avtobus56.com,None,+73333333333&+73532239239&+79128468429,ooo-pap@mail.ru,None,None,None,None,None,None,None,None,None,None,None,None,None,None
avto-v-stavropole.ru,"ООО ""СОЮЗ АВТО""",+78652977651,None,Мамедов Равшан Гадир Оглы,LEGAL,2021-05-20,1621468800,None,6311190820,1216300024687,631101001,60099526,36401364000,36701305000,4210014,443030,"г Самара, ул Спортивная, д 14, ком 3"
avtocalculator.ru,None,+79991234567&+74998771661&+79911234567,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
avtobaron.ru,None,+71793230272&+78649425147&+75138202835&+70000000413&+71793230171,info@avtobaron.ru,None,None,None,None,None,None,None,None,None,None,None,None,None,None
avto-village.ru,"ООО ""СИГМА""",+78612057501,None,Чапаров Расул Гамзатович,LEGAL,2021-02-26,1614297600,None,9721119753,1217700086724,772101001,47350569,45290554000,45385000000,4210014,109542,"109542, Г.Москва, ВН.ТЕР.Г. МУНИЦИПАЛЬНЫЙ ОКРУГ ВЫХИНО-ЖУЛЕБИНО, ПР-КТ РЯЗАНСКИЙ, Д. 91, К. 1, ЭТАЖ 1, ПОМЕЩ. 11,КОМ. 2,ОФИС 47-2"
avtocar-159.ru,None,+79922226722&+71793216531&+73422932227,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
avtocentr4x4.hisun.ru,None,+77777777777&+74852578787,info@agrodts.ru,None,None,None,None,None,None,None,None,None,None,None,None,None,None
avtocity-motors.ru,None,+79615351034&+72941787811&+73484421870&+74732123284&+74732008020&+74732123342,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
avtodealer.by,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
avtodel.com,None,+71764705882&+79787320220&+79787480055&+79787524000&+78039215686&+74705882352&+79788180101&+79788353835&+79788360707&+79788357007&+79787320303&+78617308550&+79787880030,salon@avtodel.com&hello@onelink.to&support@onelink.to&marketing@avtodel.com,None,None,None,None,None,None,None,None,None,None,None,None,None,None
avtodiler63.ru,None,+74092692154&+74092692147&+75594281854&+75523956756&+74092690154&+74092690147,ooo_avtodiler@mail.ru&team@tilda.cc,None,None,None,None,None,None,None,None,None,None,None,None,None,None
avtoduk-chery.ru,None,+74660596956&+76766085122&+73842772434&+78568304159&+77059796274&+79379331506&+72784139074&+74004205785,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
avtoduk.chery.ru,None,+74660596956&+76766085122&+73842772434&+78568304159&+77059796274&+79379331506&+72784139074&+74004205785,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
avtoexperts.online,None,None,hello@avtoexperts.onlin,None,None,None,None,None,None,None,None,None,None,None,None,None,None
avtodvor-nov.ru,None,+71764705882&+78039215686&+79898380888&+74705882352,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
avtoelon.uz,None,None,66f58db3ddce4264bdce7d25dcb68773@sentry.io&abdusamatov@avtoelon.uz,None,None,None,None,None,None,None,None,None,None,None,None,None,None
avtoexpress.net,None,+74932938852&+74932334444,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
avtofan.ru,None,+78482270200,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
avtoban-expert.ru,"ООО ""АВТОБАН-ВЕСТ""",+72583695865&+76850716922&+73432317778&+73432371010&+73439399997&+73432163305&+73433115511&+73433450000&+73432317770,None,Бартенев Илья Анатольевич,LEGAL,2016-03-24,1458777600,None,6679089722,1169658033060,667901001,01369262,65401390000,65701000001,4210014,620076,"г Екатеринбург, ул Щербакова, стр 144"
avtogarant99.ru,None,+71764705882&+79255255454&+74959280040&+78039215686&+74705882352&+79251765454&+71793228299,recode.monster@gmail.com,None,None,None,None,None,None,None,None,None,None,None,None,None,None
avtogarantspb.ru,None,+79219987577,avto_garant_spb@mail.ru,None,None,None,None,None,None,None,None,None,None,None,None,None,None
avtogaz.ru,None,+74956413301&+74956413302&+74956413333&+74952600391&+79691117728,op@avtogaz.ru,None,None,None,None,None,None,None,None,None,None,None,None,None,None
avtogaz18.ru,None,+73412456456,reseption@avtogaz18.ru,None,None,None,None,None,None,None,None,None,None,None,None,None,None
avtogaz68.ru,None,+78002002402,info@avtogaz68.ru,None,None,None,None,None,None,None,None,None,None,None,None,None,None
avtograd-vladimir.changanauto.ru,None,+74922778714&+78003336668,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
avtograd30.ru,None,+78512382121,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
avtogrelka70.ru,None,+79521506940,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
avtogrelka72.ru,None,+79220023346,avtogrelka72@gmail.com,None,None,None,None,None,None,None,None,None,None,None,None,None,None
avtoban-vw.ru,"ООО ""АВТОБАН-ЗАПАД-ПЛЮС""",+74092692154&+74092692147&+73433126013&+71793211529&+74092690154&+73432390000&+74092690147,callcenter.incomingline@avtoban.biz&team@tilda.cc,Бартенев Илья Анатольевич,LEGAL,2010-03-16,1268697600,None,6658357674,1106658003990,667901001,66530188,65401390000,65701000001,4210014,620076,"г Екатеринбург, ул Щербакова, стр 144"
avtoklass-mitsubishi-motors.clients.site,None,+74872213131&+71793219534&+74872515619,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
avtocenter-nsb.ru,"ООО ""АВТОЦЕНТР""",+73512209260,None,Николаев Павел Викторович,LEGAL,2019-08-09,1565308800,None,9731049752,1197746499268,773101001,41109022,45268569000,45321000000,4210014,121353,"121353, Г.Москва, КМ МКАД 53-Й, Д. 6, Э 1 ПОМ 1-1, 1-2, 1-53"
avtoday.com.ua,None,+78142490122&+72634154248&+79717837061&+79461968696&+70392746633&+79390099378&+79861634616&+78912846921&+73131948180&+78175912912&+78386114031&+70108490941&+73431269970&+78454449328&+76313052681&+74123658678&+73222067216&+77107943535&+75805078173&+79170962168&+79163208776&+79074594170&+70504349152&+77933806122&+78360580105&+79250738712&+75702795797&+78408223348&+75142191940&+73057531492&+79244855841&+78361667638,info@horoshop.ua&info@avtoday.com.ua,None,None,None,None,None,None,None,None,None,None,None,None,None,None
avtokompromat.ru,None,None,1607a2a47f9d41759563b1445574be1c@s.tech.mvd.ru,None,None,None,None,None,None,None,None,None,None,None,None,None,None
avtodom-orenburg.ru,"ООО ""ТВС-АВТО""",+73532486442,None,Мартыненко Людмила Александровна,LEGAL,2014-08-26,1409011200,None,5612086758,1145658027130,561201001,23898908,53401373000,53701000001,4210014,460026,"г Оренбург, ул Полигонная, д 1/1, кв 185"
avtokupec.com,None,+79991234567&+79193900090&+71793209183,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
avtokvartal.by,None,+74050689999&+73462489999&+70293270536&+73383889999,robert@broofa.com&info@5digital.by,None,None,None,None,None,None,None,None,None,None,None,None,None,None
avtokypim.by,None,None,info@avtokypim.by,None,None,None,None,None,None,None,None,None,None,None,None,None,None
avtodom.by,None,+73751328061&+70611164585,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
avtolider-haval.ru,None,+78482999300&+78005115986,akstatus-tlt@yandex.ru,None,None,None,None,None,None,None,None,None,None,None,None,None,None
avtoliderspb.ru,None,+79215559935&+79219987577,avto_lider_spb@mail.ru,None,None,None,None,None,None,None,None,None,None,None,None,None,None
avtodom-ktm.ru,"АО ""АВТОДОМ""",+74955000504&+74951613534&+74951544284&+74951613554&+74955005000,info@ktm-avtodom.ru,Ольховский Андрей Сергеевич,LEGAL,2007-08-27,1188172800,None,7714709349,1077759436336,771401001,96596227,45277598000,45348000000,4210011,125252,"г Москва, ул Зорге, д 17 стр 1"
avtoliga-group.ru,None,+78312597802&+78312000090&+78312200080&+78312200010&+79000000000&+78312029090&+78312667327&+78312597809&+78312000060&+78312200050&+78312022258&+78312020700&+78312667183&+78312999600&+78312200040&+78312597858&+78312597801,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
avtolux-chery.ru,None,+74660596956&+76766085122&+78568304159&+78793419905&+77059796274&+79379331506&+72784139074&+74004205785,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
avtomag-surgut.haval.ru,None,+78005115986&+73462771171,havalsurgut@automag-tmn.ru,None,None,None,None,None,None,None,None,None,None,None,None,None,None
avtobanrussia.ru,ИП Филиппов Евгений Валерьевич,+79248410505&+79145580100&+73188776755&+71793220008&+79959027277&+79000000000&+74099468000,avtoban.amur@mail.ru&hello@kto.digit,Филиппов Евгений Валерьевич,INDIVIDUAL,2011-04-18,1303084800,None,280116359483,311280110800047,None,0176735747,10401000000,10701000001,4210015,675000,г Благовещенск
avtomag.haval.ru,None,+73452215150&+78005115986,haval@automag-tmn.ru,None,None,None,None,None,None,None,None,None,None,None,None,None,None
avtomir-peugeot.ru,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
avtomaslarus.ru,None,+71764705882&+79510851265&+78039215686&+74705882352&+79045238091,avtomasla-rus@yandex.ru,None,None,None,None,None,None,None,None,None,None,None,None,None,None
avtomax.by,None,+71793217160,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
avtomoyka-kirov.turbo.site,None,+79066209957&+71793227250&+79769313486&+78332776767&+79128231100,yamoyka@mail.ru&author@example.com,None,None,None,None,None,None,None,None,None,None,None,None,None,None
avtonomera24.ru,None,+70531769540&+79096672227&+79000000000&+70000000000,avtonomera24@yandex.ru,None,None,None,None,None,None,None,None,None,None,None,None,None,None
avtootzyvy.ru,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
avtootogrev22.ru,None,+79833892888&+71793208481,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
avtohaus-used.ru,"ООО ""АВТОХАУС""",+78312667930,None,Мансуров Анар,LEGAL,2018-06-14,1528934400,None,6658517825,1186658046222,710401001,28974057,70401380000,70701000001,4210014,300012,"г Тула, ул Рязанская, д 28Б, помещ 1"
avtopodbor96.ru,None,+74092692154&+71793220688&+74092692147&+79097000608&+74092690154&+74092690147,team@tilda.cc,None,None,None,None,None,None,None,None,None,None,None,None,None,None
avtohous-auto.ru,"ООО ""АВТОХАУС""",+78312664163,None,Мансуров Анар,LEGAL,2018-06-14,1528934400,None,6658517825,1186658046222,710401001,28974057,70401380000,70701000001,4210014,300012,"г Тула, ул Рязанская, д 28Б, помещ 1"
avtoport-bmw-obshaya.calltouch-lp.ru,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
avtoport-bmw.calltouch-lp.ru,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
